employee_id,employee_code,first_name,last_name,email,department_id,company_id,position,hire_date,termination_date,base_salary,is_active
10001,EMP-10001,Stephanie,Ramos,shirley.hughes@company.com,13,1,Manager,01-01-2015 00:00,,54811.26,TRUE
10002,EMP-10002,Frank,Rivera,richard.parker@company.com,8,2,Junior,02-01-2015 00:00,,53962.25,TRUE
10003,EMP-10003,Joseph,Young,donald.king@company.com,4,2,Junior,03-01-2015 00:00,,90764.37,TRUE
10004,EMP-10004,Anna,Ward,joshua.gutierrez@company.com,10,1,Senior,04-01-2015 00:00,,110627.04,TRUE
10005,EMP-10005,Jacob,Richardson,linda.gray@company.com,19,1,Manager,05-01-2015 00:00,,139394.18,TRUE
10006,EMP-10006,Christopher,Turner,nicole.diaz@company.com,18,2,Manager,06-01-2015 00:00,,90259.44,TRUE
10007,EMP-10007,Samuel,Bennett,anthony.castillo@company.com,5,1,Senior,07-01-2015 00:00,,145900.65,TRUE
10008,EMP-10008,Gregory,Alvarez,timothy.hill@company.com,19,1,Junior,08-01-2015 00:00,,142996.18,TRUE
10009,EMP-10009,Justin,Martin,nicholas.taylor@company.com,16,2,Senior,09-01-2015 00:00,,133807.5,TRUE
10010,EMP-10010,Justin,Allen,sandra.evans@company.com,1,2,Junior,10-01-2015 00:00,,89997.27,TRUE
10011,EMP-10011,Debra,Kelly,richard.lee@company.com,12,2,Junior,11-01-2015 00:00,,46908.47,TRUE
10012,EMP-10012,Maria,Flores,charles.evans@company.com,2,1,Senior,12-01-2015 00:00,,56148.54,TRUE
10013,EMP-10013,Lisa,Young,charles.cruz@company.com,8,1,Senior,13-01-2015 00:00,,107720.4,TRUE
10014,EMP-10014,John,Long,matthew.bennett@company.com,18,1,Junior,14-01-2015 00:00,,80610.6,TRUE
10015,EMP-10015,Nancy,Johnson,donald.watson@company.com,16,2,Senior,15-01-2015 00:00,,47616.2,TRUE
10016,EMP-10016,Timothy,Long,jason.thompson@company.com,5,1,Junior,16-01-2015 00:00,,87479.27,TRUE
